Order,Family,Species,Location,Behaviour,Trophic,Individuals,Empty,Empty_perc
Osteoglossiformes,Mormyridae,Hippopotamyrus discorhynchus,Africa,Nocturnal,Invertivore,37,4,0.108108108108108
Osteoglossiformes,Mormyridae,Marcusenius macrolepidotus,Africa,Nocturnal,Invertivore,83,14,0.168674698795181
Osteoglossiformes,Mormyridae,Mormyrus lacerda,Africa,Nocturnal,Invertivore,46,2,0.0434782608695652
Osteoglossiformes,Mormyridae,Petrocephalus catostoma,Africa,Nocturnal,Invertivore,11,0,0
Osteoglossiformes,Mormyridae,Pollimyrus castelnaui,Africa,Nocturnal,Invertivore,47,0,0
Cypriniformes,Cyprinidae,Barbus annectens,Africa,Diurnal,Omnivore,17,0,0
Cypriniformes,Cyprinidae,Barbus paludinosus,Africa,Diurnal,Invertivore,60,5,0.0833333333333333
Cypriniformes,Cyprinidae,Barbus poechii,Africa,Diurnal,Omnivore,51,2,0.0392156862745098
Cypriniformes,Cyprinidae,Labeo lunatus,Africa,Diurnal,Algiv./Detritiv.,19,4,0.210526315789474
Characiformes,Alestiidae,Brycinus lateralis,Africa,Diurnal,Omnivore,19,0,0
Characiformes,Hepsetidae,Hepsetus odoe,Africa,Diurnal,Piscivore,194,109,0.561855670103093
Siluriformes,Clariidae,Clarias gariepinus,Africa,Nocturnal,Piscivore,59,38,0.644067796610169
Siluriformes,Clariidae,Clarias ngamensis,Africa,Nocturnal,Piscivore,48,20,0.416666666666667
Siluriformes,Clariidae,Clarias theodorae,Africa,Nocturnal,Piscivore,19,2,0.105263157894737
Siluriformes,Mochokidae,Synodontis leopardinus,Africa,Nocturnal,Invertivore,62,18,0.290322580645161
Siluriformes,Mochokidae,Synodontis macrostigma,Africa,Nocturnal,Invertivore,28,6,0.214285714285714
Siluriformes,Mochokidae,Synodontis nigromaculatus,Africa,Nocturnal,Invertivore,24,0,0
Siluriformes,Mochokidae,Synodontis woosnami,Africa,Nocturnal,Invertivore,82,7,0.0853658536585366
Siluriformes,Schilbeidae,Schilbe mystus,Africa,Nocturnal,Piscivore,399,161,0.403508771929825
Cyprinodontiformes,Poeciliidae,Aplocheilichthys johnstoni,Africa,Diurnal,Invertivore,65,1,0.0153846153846154
Synbranchiformes,Mastacembelidae,Caecomastacembelus frenatus,Africa,Nocturnal,Invertivore,10,4,0.4
Perciformes,Cichlidae,Hemichromis fasciatus,Africa,Diurnal,Piscivore,20,13,0.65
Perciformes,Cichlidae,Oreochromis andersonii,Africa,Diurnal,Algiv./Detritiv.,20,0,0
Perciformes,Cichlidae,Oreochromis macrochir,Africa,Diurnal,Invertivore,42,4,0.0952380952380952
Perciformes,Cichlidae,Pharyngochromis darlingi,Africa,Diurnal,Invertivore,28,0,0
Perciformes,Cichlidae,Pseudocrenilabrus philander,Africa,Diurnal,Invertivore,48,0,0
Perciformes,Cichlidae,Sargochromis carlottae,Africa,Diurnal,Invertivore,35,2,0.0571428571428571
Perciformes,Cichlidae,Sargochromis codringtonii,Africa,Diurnal,Invertivore,119,13,0.109243697478992
Perciformes,Cichlidae,Sargochromis giardi,Africa,Diurnal,Invertivore,101,51,0.504950495049505
Perciformes,Cichlidae,Serranochromis altus,Africa,Diurnal,Piscivore,104,81,0.778846153846154
Perciformes,Cichlidae,Serranochromis angusticeps,Africa,Diurnal,Piscivore,223,176,0.789237668161435
Perciformes,Cichlidae,Serranochromis macrocephalus,Africa,Diurnal,Piscivore,267,189,0.707865168539326
Perciformes,Cichlidae,Serranochromis robustus,Africa,Diurnal,Piscivore,181,105,0.580110497237569
Perciformes,Cichlidae,Tilapia rendalli,Africa,Diurnal,Algiv./Detritiv.,86,8,0.0930232558139535
Perciformes,Cichlidae,Tilapia sparrmani,Africa,Diurnal,Algiv./Detritiv.,92,4,0.0434782608695652
Clupeiformes,Clupeidae,Pellona castelnaeana,Central/South America,Diurnal,Piscivore,20,7,0.35
Characiformes,Alestiidae,Hydrocynus vittatus,Central/South America,Diurnal,Piscivore,319,178,0.557993730407524
Characiformes,Anostomidae,Leporinus friderici,Central/South America,Diurnal,Omnivore,65,2,0.0307692307692308
Characiformes,Anostomidae,Schizodon isognathus,Central/South America,Diurnal,Omnivore,92,1,0.0108695652173913
Characiformes,Characidae,Acestrorhynchus heterolepis,Central/South America,Diurnal,Piscivore,11,8,0.727272727272727
Characiformes,Characidae,Acestrorhynchus minimus,Central/South America,Diurnal,Piscivore,35,16,0.457142857142857
